Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
AbrahamSimpson_R1	0.8333333333333286	46.0	151.0	151	10.0	0.00132
AbrahamSimpson_R1_filtered	0.8333333333333286	46.0	108.0439393939394	108	10.0	0.00132
AbrahamSimpson_R2	0.7575757575757507	46.0	151.0	151	10.0	0.00132
AbrahamSimpson_R2_filtered	0.7575757575757507	46.0	108.0439393939394	108	10.0	0.00132
BartSimpson_R1	0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R1_filtered	0.6024096385542066	46.0	108.17771084337349	108	0.0	0.001328
BartSimpson_R2	0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R2_filtered	0.6024096385542066	46.0	108.17771084337349	108	0.0	0.001328
HomerSimpson_R1	0.6060606060606091	45.0	151.0	151	10.0	0.00132
HomerSimpson_R1_filtered	0.6060606060606091	46.0	108.0969696969697	108	10.0	0.00132
HomerSimpson_R2	0.6060606060606091	46.0	151.0	151	0.0	0.00132
HomerSimpson_R2_filtered	0.6060606060606091	45.0	108.0969696969697	108	10.0	0.00132
LisaSimpson_R1	0.30303030303031164	46.0	151.0	151	10.0	0.00132
LisaSimpson_R1_filtered	0.30303030303031164	46.0	108.08484848484848	108	10.0	0.00132
LisaSimpson_R2	0.37878787878787534	46.0	151.0	151	0.0	0.00132
LisaSimpson_R2_filtered	0.37878787878787534	46.0	108.08484848484848	108	0.0	0.00132
MaggieSimpson_R1	0.22590361445783458	45.0	151.0	151	0.0	0.001328
MaggieSimpson_R1_filtered	0.22590361445783458	46.0	108.26807228915662	108	0.0	0.001328
MaggieSimpson_R2	0.3765060240963862	46.0	151.0	151	10.0	0.001328
MaggieSimpson_R2_filtered	0.3765060240963862	45.0	108.26807228915662	108	10.0	0.001328
