Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
AbrahamSimpson	0.0	94.6422	0.268729	0.00264	46.1858	100.0	1.7424242424242427	151.0	151.0						
AbrahamSimpson_R1										0.8333333333333286	46.0	151.0	151	10.0	0.00132
AbrahamSimpson_R1_filtered										0.8333333333333286	46.0	108.0439393939394	108	10.0	0.00132
AbrahamSimpson_R2										0.7575757575757507	46.0	151.0	151	10.0	0.00132
AbrahamSimpson_R2_filtered										0.7575757575757507	46.0	108.0439393939394	108	10.0	0.00132
BartSimpson	0.0	94.6841	0.270823	0.002656	46.2822	100.0	2.108433734939759	151.0	151.0						
BartSimpson_R1										0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R1_filtered										0.6024096385542066	46.0	108.17771084337349	108	0.0	0.001328
BartSimpson_R2										0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R2_filtered										0.6024096385542066	46.0	108.17771084337349	108	0.0	0.001328
HomerSimpson	0.0	94.6488	0.268903	0.00264	45.988800000000005	100.0	2.5	151.0	151.0						
HomerSimpson_R1										0.6060606060606091	45.0	151.0	151	10.0	0.00132
HomerSimpson_R1_filtered										0.6060606060606091	46.0	108.0969696969697	108	10.0	0.00132
HomerSimpson_R2										0.6060606060606091	46.0	151.0	151	0.0	0.00132
HomerSimpson_R2_filtered										0.6060606060606091	45.0	108.0969696969697	108	10.0	0.00132
LisaSimpson	0.0	94.3357	0.267955	0.00264	46.2418	100.0	2.348484848484848	151.0	151.0						
LisaSimpson_R1										0.30303030303031164	46.0	151.0	151	10.0	0.00132
LisaSimpson_R1_filtered										0.30303030303031164	46.0	108.08484848484848	108	10.0	0.00132
LisaSimpson_R2										0.37878787878787534	46.0	151.0	151	0.0	0.00132
LisaSimpson_R2_filtered										0.37878787878787534	46.0	108.08484848484848	108	0.0	0.00132
MaggieSimpson	0.0	94.56139999999999	0.27068	0.002656	45.9724	100.0	1.5060240963855422	151.0	151.0						
MaggieSimpson_R1										0.22590361445783458	45.0	151.0	151	0.0	0.001328
MaggieSimpson_R1_filtered										0.22590361445783458	46.0	108.26807228915662	108	0.0	0.001328
MaggieSimpson_R2										0.3765060240963862	46.0	151.0	151	10.0	0.001328
MaggieSimpson_R2_filtered										0.3765060240963862	45.0	108.26807228915662	108	10.0	0.001328
